rank_number,actor,commits,percent,cumulative_sum,cumulative_percent,all_commits
1,zroubalik,31,3.98458,31,3.98458,778
2,Aarthisk,13,1.67095,44,5.65553,778
3,patnaikshekhar,13,1.67095,57,7.32648,778
4,balchua,8,1.02828,65,8.35476,778
5,stgricci,8,1.02828,73,9.38303,778
6,t-shama,8,1.02828,81,10.41131,778
7,eashi,7,0.89974,88,11.31105,778
8,zach-dunton-sf,7,0.89974,95,12.21080,778
9,inuyasha82,6,0.77121,101,12.98201,778
10,iyacontrol,6,0.77121,107,13.75321,778
11,rasavant-ms,6,0.77121,113,14.52442,778
12,Cottonglow,3,0.38560,116,14.91003,778
13,IsharaPannila,3,0.38560,119,15.29563,778
14,kunalbabre,3,0.38560,122,15.68123,778
15,l13t,3,0.38560,125,16.06684,778
16,nuclearpinguin,3,0.38560,128,16.45244,778
17,toshi0607,3,0.38560,131,16.83805,778
18,melmaliacone,2,0.25707,133,17.09512,778
19,msfuko,2,0.25707,135,17.35219,778
20,tomconte,2,0.25707,137,17.60925,778
21,aminebizid,1,0.12853,138,17.73779,778
22,amtandon,1,0.12853,139,17.86632,778
23,cwoolum,1,0.12853,140,17.99486,778
24,jakobehn,1,0.12853,141,18.12339,778
25,joskfg,1,0.12853,142,18.25193,778
26,martinpeck,1,0.12853,143,18.38046,778
27,mashrin,1,0.12853,144,18.50900,778
28,privalof,1,0.12853,145,18.63753,778
29,priyaananthasankar,1,0.12853,146,18.76607,778
30,robece,1,0.12853,147,18.89460,778
31,saif03,1,0.12853,148,19.02314,778
32,samjo-nyang,1,0.12853,149,19.15167,778
33,simpsonw,1,0.12853,150,19.28021,778
34,sjwaight,1,0.12853,151,19.40874,778
35,thomasjardin,1,0.12853,152,19.53728,778
36,tomislater,1,0.12853,153,19.66581,778
